id,latitude,longitude,elevation,name,category,ridge_id
mount-00347,43.858760942606835,40.821815729141235,2145,,regular,ridge_dzhentu
mount-00333,43.86839925348892,40.85885167121887,2120,,regular,ridge_dzhentu
mount-00338,43.821028141893606,41.004592180252075,2112,,regular,ridge_dzhentu
mount-01598,43.82959672676341,40.99724292755127,2098,Нахшир,regular,ridge_dzhentu
mount-00351,43.849113336171825,40.805604457855225,2096,,regular,ridge_dzhentu
mount-01460,43.77969280528043,40.954874753952026,2096,,regular,ridge_dzhentu
mount-01636,43.83749854985163,40.79422116279602,2065,,regular,ridge_dzhentu
mount-01570,43.84316307190801,40.75647711753845,2060,,regular,ridge_dzhentu
mount-01634,43.840655890779885,40.87784171104431,2028,,regular,ridge_dzhentu
mount-00346,43.86560693370603,40.81962704658508,2014,,regular,ridge_dzhentu
mount-00350,43.82219700956199,40.762635469436646,2003,,regular,ridge_dzhentu
mount-00330,43.87544521853383,40.859506130218506,1982,Власычиха,regular,ridge_dzhentu
mount-00295,43.862520533341126,40.89378476142883,1971,,regular,ridge_dzhentu
mount-00337,43.83523878170928,40.999388694763184,1965,,regular,ridge_dzhentu
mount-01633,43.83595077268657,40.860804319381714,1962,,regular,ridge_dzhentu
mount-00349,43.85543435807264,40.760639905929565,1957,,regular,ridge_dzhentu
mount-00332,43.871670974225026,40.84121346473694,1949,,regular,ridge_dzhentu
mount-00371,43.768785050201416,40.93847036361694,1940,,regular,ridge_dzhentu
mount-00369,43.76101361065935,40.93084216117859,1926,,regular,ridge_dzhentu
mount-01842,43.87802053902155,40.77051043510437,1916,,regular,ridge_dzhentu
mount-00112,43.84031540126628,41.012842655181885,1912,,regular,ridge_dzhentu
mount-00329,43.87153175572462,40.90253949165344,1910,Мал. Пцицер,regular,ridge_dzhentu
mount-00296,43.86385876665483,40.91533899307251,1908,,regular,ridge_dzhentu
mount-01906,43.802710313003246,40.8417284488678,1901,,regular,ridge_dzhentu
mount-00344,43.85602232605032,40.79127073287964,1899,,regular,ridge_dzhentu
mount-00345,43.86315484420578,40.80224633216858,1878,,regular,ridge_dzhentu
mount-00297,43.78154413720608,40.85243582725525,1846,,regular,ridge_dzhentu
mount-01224,43.92009153531242,40.81324338912964,1844,,regular,ridge_dzhentu
mount-00627,43.840849349865096,41.02113604545593,1838,,regular,ridge_dzhentu
mount-01907,43.81256671544898,40.84400296211243,1815,,regular,ridge_dzhentu
mount-00341,43.84634332599882,40.90128421783447,1810,,regular,ridge_dzhentu
mount-01522,43.919913789539265,40.8226203918457,1803,Чинарев Бугор,regular,ridge_dzhentu
hill-00303,43.77309261164544,40.92280626296997,1799,,regular,ridge_dzhentu
hill-00275,43.82381480851089,40.834089517593384,1796,,regular,ridge_dzhentu
hill-00263,43.82396961950903,40.98300576210022,1787,,regular,ridge_dzhentu
hill-00273,43.82734439949712,40.87839961051941,1778,,regular,ridge_dzhentu
hill-00687,43.85913227076125,40.99715709686279,1772,,regular,ridge_dzhentu
hill-00127,43.91892458597056,40.82045316696167,1771,,regular,ridge_dzhentu
hill-00274,43.85790997353078,40.914437770843506,1771,,regular,ridge_dzhentu
hill-00272,43.884145178421875,40.81122636795044,1769,,regular,ridge_dzhentu
hill-00686,43.85103215047894,41.003851890563965,1761,,regular,ridge_dzhentu
hill-00026,43.88655774228678,40.839303731918335,1759,Бескес,regular,ridge_dzhentu
hill-00557,43.899461753101235,40.994142293930054,1759,Бол. Беден,regular,ridge_dzhentu
hill-00339,43.77970829783564,40.831793546676636,1744,,regular,ridge_dzhentu
hill-00762,43.8810133392073,40.789350271224976,1740,,regular,ridge_dzhentu
hill-00271,43.8300146750513,40.84872364997864,1736,,regular,ridge_dzhentu
hill-00604,43.83968084744228,40.90661644935608,1734,,regular,ridge_dzhentu
hill-00027,43.91190695102904,40.81389784812927,1732,,regular,ridge_dzhentu
hill-00247,43.83886829915545,40.991084575653076,1727,,regular,ridge_dzhentu
hill-00024,43.88674332007545,40.90713143348694,1724,,regular,ridge_dzhentu
hill-00278,43.77437087504015,40.81488490104675,1724,,regular,ridge_dzhentu
hill-00688,43.88671239048415,40.8612334728241,1720,,regular,ridge_dzhentu
hill-00248,43.87648154706781,40.82563519477844,1709,,regular,ridge_dzhentu
hill-00262,43.817296901259056,40.98594546318054,1706,,regular,ridge_dzhentu
hill-00675,43.9450402259273,40.88417172431946,1700,,regular,ridge_dzhentu
hill-00277,43.76839766436373,40.804359912872314,1685,,regular,ridge_dzhentu
hill-00571,44.02007038119535,41.09431743621826,1681,,regular,ridge_dzhentu
hill-00165,43.902461206464665,41.00368022918701,1680,,regular,ridge_dzhentu
hill-00299,43.799039878010944,40.87213397026062,1672,,regular,ridge_dzhentu
hill-00578,44.01551060090975,41.110968589782715,1668,,regular,ridge_dzhentu
hill-00556,43.946523373681174,40.85834741592407,1663,Мишин Бугор,regular,ridge_dzhentu
hill-00246,43.845221357902034,41.02873206138611,1662,,regular,ridge_dzhentu
hill-00595,43.893230446884246,40.90683102607727,1660,,regular,ridge_dzhentu
hill-00359,43.87174831769585,40.98852038383484,1657,,regular,ridge_dzhentu
hill-00297,43.76330718137643,40.87879657745361,1655,,regular,ridge_dzhentu
hill-00126,43.92002198268182,40.83696484565735,1652,,regular,ridge_dzhentu
hill-00655,44.03275259568605,41.05358004570007,1649,Лысая,regular,ridge_dzhentu
hill-00727,43.94830773677904,40.87383985519409,1649,,regular,ridge_dzhentu
hill-00261,43.79844360462263,40.95610857009888,1645,,regular,ridge_dzhentu
hill-00184,43.883054853080665,40.98304867744446,1641,,regular,ridge_dzhentu
hill-00492,44.01820330543555,41.12139701843262,1633,,regular,ridge_dzhentu
hill-00296,43.8045067306376,40.891456604003906,1631,,regular,ridge_dzhentu
hill-00186,43.89095732672564,40.978907346725464,1620,,regular,ridge_dzhentu
hill-00125,43.904764807737365,40.87144732475281,1613,,regular,ridge_dzhentu
hill-00124,43.938435134282315,40.84368109703064,1609,,regular,ridge_dzhentu
hill-00295,43.80384082350497,40.8642053604126,1603,,regular,ridge_dzhentu
hill-00577,44.02716010439815,41.104896068573,1594,,regular,ridge_dzhentu
hill-00276,43.88907845783885,40.79300880432129,1590,,regular,ridge_dzhentu
hill-00690,43.85928699014306,41.02172613143921,1584,,regular,ridge_dzhentu
hill-00270,43.839038548284265,40.97302794456482,1575,,regular,ridge_dzhentu
hill-00338,43.76979224163756,40.84385275840759,1573,,regular,ridge_dzhentu
hill-00539,43.78699709978926,40.86542844772339,1572,,regular,ridge_dzhentu
hill-00123,43.899469483845365,40.80071210861206,1570,,regular,ridge_dzhentu
hill-00122,43.9128035231887,40.84966778755188,1559,,regular,ridge_dzhentu
hill-00074,44.01503994372521,41.13775849342346,1548,,regular,ridge_dzhentu
hill-00121,43.958618915760326,40.897507667541504,1546,,regular,ridge_dzhentu
hill-00183,43.89234904324371,40.99915266036987,1544,,regular,ridge_dzhentu
hill-00244,43.87986109026639,40.9369683265686,1539,,regular,ridge_dzhentu
hill-00245,43.85010369965164,40.97024917602539,1539,,regular,ridge_dzhentu
hill-00510,43.79670895729524,40.939189195632935,1539,,regular,ridge_dzhentu
hill-00677,43.96166944595524,40.90055465698242,1536,,regular,ridge_dzhentu
hill-00504,44.02741467063689,41.13190054893494,1528,,regular,ridge_dzhentu
hill-00260,43.82959672676341,40.973156690597534,1517,,regular,ridge_dzhentu
hill-00243,43.872019019053226,41.00271463394165,1516,,regular,ridge_dzhentu
hill-00120,43.924898197909016,40.85487127304077,1515,,regular,ridge_dzhentu
hill-00678,43.94440678696378,40.90680956840515,1511,,regular,ridge_dzhentu
hill-00192,43.901332563910955,40.917441844940186,1501,,regular,ridge_dzhentu
hill-00579,44.037611849266824,41.097267866134644,1501,,regular,ridge_dzhentu
hill-00676,43.90941811959431,40.8371901512146,1501,,regular,ridge_dzhentu
hill-00652,43.909773673314106,41.07117533683777,1495,Мал. Беден,regular,ridge_dzhentu
hill-00259,43.82626077534269,40.949392318725586,1492,,regular,ridge_dzhentu
